Year_of_Birth Gender Child's_First_Name Count Rank
2011 MALE ELIJAH 12 54
2011 MALE ELVIS 11 55
2011 MALE ERIC 85 9
2011 MALE ETHAN 177 1
2011 MALE EVAN 51 19
2011 MALE FARHAN 17 49
2011 MALE FELIX 22 44
2011 MALE GABRIEL 13 53
2011 MALE GAVIN 27 39
2011 MALE GEORGE 12 54
2011 MALE HARRISON 13 53
2011 MALE HAYDEN 10 56
2011 MALE HENRY 21 45
2011 MALE IAN 22 44
2011 MALE IBRAHIM 17 49
2011 MALE ISAAC 13 53
2011 MALE ISHAAN 10 56
2011 MALE IVAN 66 15
2011 MALE JACK 21 45
2011 MALE JACKSON 13 53
2011 MALE JACKY 20 46
2011 MALE JACOB 49 21
2011 MALE JADEN 23 43
2011 MALE JAKE 17 49
2011 MALE JAMES 36 31
2011 MALE JASON 98 6
2011 MALE JAY 14 52
2011 MALE JAYDEN 173 2
2011 MALE JEFFREY 25 41
2011 MALE JEREMY 17 49
2011 MALE JERRY 25 41
2011 MALE JIA 15 51
2011 MALE JOHN 21 45
2011 MALE JOHNNY 18 48
2011 MALE JONATHAN 50 20
2011 MALE JORDAN 23 43
2011 MALE JOSEPH 21 45
2011 MALE JOSHUA 36 31
2011 MALE JULIAN 11 55
2011 MALE JUSTIN 110 4
2011 MALE KAI 12 54
2011 MALE KEVIN 92 8
2011 MALE KINGSLEY 36 31
2011 MALE KYLE 45 24
2011 MALE LAWRENCE 14 52
2011 MALE LEO 40 27
2011 MALE LEON 17 49
2011 MALE LIAM 25 41
2011 MALE LOGAN 19 47
2011 MALE LOUIS 10 56
2011 MALE LUCAS 103 5
2011 MALE LUKE 11 55
2011 MALE MARCUS 20 46
2011 MALE MARTIN 14 52
2011 MALE MASON 34 33
2011 MALE MATTHEW 74 12
2011 MALE MAX 14 52
2011 MALE MICHAEL 38 29
2011 MALE MILES 10 56
2011 MALE MOHAMED 13 53
2011 MALE MOHAMMAD 46 23
2011 MALE MOHAMMED 41 26
2011 MALE MUHAMMAD 76 11
2011 MALE NATHAN 41 26
2011 MALE NATHANIEL 16 50
2011 MALE NELSON 12 54
2011 MALE NICHOLAS 26 40
2011 MALE NOAH 19 47
2011 MALE OLIVER 10 56
2011 MALE OSCAR 25 41
2011 MALE OWEN 27 39
2011 MALE PATRICK 14 52
2011 MALE PETER 11 55
2011 MALE RAYAN 10 56
2011 MALE RAYMOND 27 39
2011 MALE RICHARD 26 40
2011 MALE RICKY 16 50
2011 MALE ROHAN 15 51
2011 MALE RYAN 150 3
2011 MALE SAMUEL 30 36
2011 MALE SEAN 14 52
2011 MALE SEBASTIAN 14 52
2011 MALE SHAWN 10 56
2011 MALE SIMON 14 52
2011 MALE STANLEY 23 43
2011 MALE STEVEN 35 32
2011 MALE SYED 16 50
2011 MALE TENZIN 24 42
2011 MALE TERRY 11 55
2011 MALE THOMAS 18 48
2011 MALE TIMOTHY 16 50
2011 MALE TONY 16 50
2011 MALE TRAVIS 11 55
2011 MALE TYLER 31 35
2011 MALE VICTOR 17 49
2011 MALE VINCENT 71 13
2011 MALE WILLIAM 66 15
2011 MALE WILSON 23 43
2011 MALE XAVIER 10 56
2011 MALE ZACHARY 12 54
2011 MALE ZAIN 12 54
2011 MALE ZAYAN 10 56
2011 MALE AARON 53 28
2011 MALE ABDOUL 16 58
2011 MALE ABDOULAYE 13 61
2011 MALE ADAM 28 46
2011 MALE ADEN 19 55
2011 MALE ADONIS 11 63
2011 MALE ADRIAN 18 56
2011 MALE AHMED 11 63
2011 MALE AIDAN 20 54
2011 MALE AIDEN 167 2
2011 MALE ALEXANDER 39 35
2011 MALE ALI 11 63
2011 MALE ALIJAH 10 64
2011 MALE ALVIN 10 64
2011 MALE AMADOU 15 59
2011 MALE AMAR'E 12 62
2011 MALE AMARE 15 59
2011 MALE AMARI 57 27
2011 MALE AMIR 89 12
2011 MALE ANDRE 22 52
2011 MALE ANDREW 36 38
2011 MALE ANGEL 10 64
2011 MALE ANTHONY 66 22
2011 MALE ANTONIO 15 59
2011 MALE ASHTON 18 56
2011 MALE AUSTIN 13 61
2011 MALE AVERY 19 55
2011 MALE AYDEN 88 13
2011 MALE BENJAMIN 13 61
2011 MALE BLAKE 19 55
2011 MALE BRANDON 57 27
2011 MALE BRIAN 22 52
2011 MALE BRYAN 10 64
2011 MALE BRYCE 35 39
2011 MALE BRYSON 14 60
2011 MALE CALEB 44 31
2011 MALE CAMERON 47 29
2011 MALE CARMELO 13 61
2011 MALE CARTER 35 39
2011 MALE CAYDEN 11 63
2011 MALE CHAD 12 62
2011 MALE CHANCE 15 59
2011 MALE CHARLES 15 59
2011 MALE CHASE 41 33
2011 MALE CHRIS 10 64
2011 MALE CHRISTIAN 91 11
2011 MALE CHRISTOPHER 80 19
2011 MALE CODY 10 64
2011 MALE COREY 10 64
2011 MALE DANIEL 81 18
2011 MALE DARIUS 12 62
2011 MALE DARREN 12 62
2011 MALE DAVID 84 15
2011 MALE DERRICK 10 64
2011 MALE DEVIN 24 50
2011 MALE DEVON 10 64
2011 MALE DOMINIC 17 57
2011 MALE DONOVAN 10 64
2011 MALE DWAYNE 14 60
2011 MALE DYLAN 42 32
2011 MALE EDWARD 10 64
2011 MALE ELI 22 52
2011 MALE ELIAS 14 60
2011 MALE ELIJAH 156 3
2011 MALE EMMANUEL 46 30
2011 MALE ERIC 14 60
2011 MALE ETHAN 124 6
2011 MALE EVAN 26 48
2011 MALE GABRIEL 36 38
2011 MALE GAVIN 18 56
2011 MALE GEORGE 10 64
2011 MALE GIOVANNI 14 60
2011 MALE HASSAN 10 64
2011 MALE HAYDEN 12 62
2011 MALE HUNTER 12 62
2011 MALE IAN 21 53
2011 FEMALE SERENA 16 75
2011 MALE IBRAHIMA 11 63
2011 MALE ISAAC 18 56
2011 MALE ISAIAH 105 8
2011 MALE ISHMAEL 10 64
2011 MALE ISIAH 11 63
2011 MALE JACE 21 53
2011 MALE JACKSON 11 63
2011 MALE JACOB 82 17
2011 MALE JADEN 75 20
2011 MALE JAHEIM 10 64
2011 MALE JAHMIR 14 60
2011 MALE JAIDEN 35 39
2011 MALE JALEN 15 59
2011 MALE JAMAL 13 61
2011 MALE JAMEL 13 61
2011 MALE JAMES 33 41
2011 MALE JAMIR 12 62
2011 MALE JARED 12 62
2011 MALE JASIAH 16 58
2011 MALE JASON 44 31
2011 MALE JAYDEN 184 1
2011 MALE JAYLEN 38 36
2011 MALE JAYSON 14 60
2011 MALE JELANI 11 63
2011 MALE JEREMIAH 153 4
2011 MALE JEREMY 15 59
